t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
2.3034,0.016760,-0.149957,0.149957,-0.093573,0.090505
2.3201,0.016760,-0.163666,0.163666,-0.093573,0.090505
2.3369,0.016759,-0.177443,0.177443,-0.108913,0.113515
2.3536,0.016758,-0.191201,0.191201,-0.118117,0.122718
2.3704,0.016759,-0.204855,0.204855,-0.134990,0.138058
2.3871,0.016759,-0.218320,0.218320,-0.151864,0.154932
2.4039,0.016767,-0.231519,0.231519,-0.167204,0.164136
2.4207,0.016764,-0.244360,0.244360,-0.167204,0.164136
2.4374,0.016766,-0.256767,0.256767,-0.196350,0.190214
2.4542,0.016756,-0.268654,0.268654,-0.208621,0.207087
2.4709,0.016726,-0.279934,0.279934,-0.236233,0.236233
2.4877,0.016754,-0.290577,0.290577,-0.254641,0.254641
2.5044,0.016769,-0.300506,0.300506,-0.254641,0.254641
2.5212,0.016757,-0.309643,0.309643,-0.254641,0.254641
2.5380,0.016752,-0.317935,0.317935,-0.280718,0.285320
2.5548,0.016822,-0.325363,0.325363,-0.292990,0.292990
2.5722,0.017447,-0.332065,0.332065,-0.308330,0.297592
2.5890,0.016811,-0.337517,0.337517,-0.319068,0.320602
2.6058,0.016761,-0.341935,0.341935,-0.328272,0.328272
2.6225,0.016730,-0.345304,0.345304,-0.328272,0.328272
2.6392,0.016720,-0.347611,0.347611,-0.339010,0.331340
2.6560,0.016760,-0.348846,0.348846,-0.343612,0.337476
2.6728,0.016770,-0.348993,0.348993,-0.343612,0.342078
2.6895,0.016751,-0.348054,0.348054,-0.352816,0.346680
2.7066,0.017021,-0.345992,0.345992,-0.354350,0.348214
2.7233,0.016760,-0.342885,0.342885,-0.354350,0.348214
2.7401,0.016757,-0.338729,0.338729,-0.345146,0.343612
2.7568,0.016761,-0.333548,0.333548,-0.349748,0.348214
2.7736,0.016779,-0.327368,0.327368,-0.348214,0.345146
2.7904,0.016759,-0.320243,0.320243,-0.334408,0.332874
2.8072,0.016784,-0.312196,0.312196,-0.337476,0.335942
2.8239,0.016751,-0.303307,0.303307,-0.337476,0.335942
2.8407,0.016751,-0.293616,0.293616,-0.326738,0.328272
2.8574,0.016750,-0.283185,0.283185,-0.317534,0.312932
2.8742,0.016762,-0.272069,0.272069,-0.316000,0.316000
2.8909,0.016755,-0.260349,0.260349,-0.303728,0.305262
2.9077,0.016772,-0.248082,0.248082,-0.283786,0.285320
2.9245,0.016761,-0.235364,0.235364,-0.283786,0.285320
2.9412,0.016778,-0.222253,0.222253,-0.273049,0.273049
2.9580,0.016756,-0.208862,0.208862,-0.259243,0.263845
2.9748,0.016773,-0.195244,0.195244,-0.253107,0.251573
2.9915,0.016755,-0.181510,0.181510,-0.230097,0.231631
3.0083,0.016777,-0.167715,0.167715,-0.211689,0.210155
3.0251,0.016771,-0.153968,0.153968,-0.211689,0.210155
3.0418,0.016758,-0.140360,0.140360,-0.204019,0.204019
3.0594,0.017620,-0.126282,0.126282,-0.184078,0.191748
3.0762,0.016760,-0.113200,0.113200,-0.184078,0.191748
3.0930,0.016751,-0.100506,0.100506,-0.177942,0.174874
3.1097,0.016757,-0.088268,0.088268,-0.158000,0.153398
3.1265,0.016783,-0.076551,0.076551,-0.133456,0.131922
3.1432,0.016754,-0.065465,0.065465,-0.122718,0.121184
3.1601,0.016830,-0.055012,0.055012,-0.101243,0.102777
3.1768,0.016730,-0.045367,0.045367,-0.101243,0.102777
3.1936,0.016753,-0.036512,0.036512,-0.081301,0.082835
3.2103,0.016753,-0.028516,0.028516,-0.075165,0.075165
3.2272,0.016927,-0.021363,0.021363,-0.056757,0.061359
3.2440,0.016756,-0.015240,0.015240,-0.044485,0.046019
3.2608,0.016766,-0.010107,0.010107,-0.035282,0.032214
3.2775,0.016754,-0.006003,0.006003,-0.035282,0.032214
3.2943,0.016760,-0.002948,0.002948,-0.018408,0.021476
3.3110,0.016751,-0.000963,0.000963,-0.016874,0.021476
3.3278,0.016756,-0.000060,0.000060,-0.015340,0.012272
3.3445,0.016752,-0.000243,0.000243,-0.001534,0.001534
3.3613,0.016769,-0.001514,0.001514,-0.001534,0.001534
3.3781,0.016754,-0.003862,0.003862,-0.003068,0.003068
3.3948,0.016763,-0.007275,0.007275,-0.003068,0.001534
3.4116,0.016757,-0.011730,0.011730,0.004602,-0.001534
3.4283,0.016772,-0.017204,0.017204,0.000000,0.000000
3.4455,0.017130,-0.023810,0.023810,-0.004602,0.004602
3.4622,0.016762,-0.031223,0.031223,-0.004602,0.004602
3.4790,0.016756,-0.039528,0.039528,-0.012272,0.013806
3.4958,0.016766,-0.048679,0.048679,-0.021476,0.023010
3.5126,0.016818,-0.058647,0.058647,-0.023010,0.029146
3.5293,0.016762,-0.069306,0.069306,-0.039884,0.042951
3.5461,0.016769,-0.080626,0.080626,-0.050621,0.053689
